16298,16374,16659,16887,16869,16798,16882,16788,17179,17093,15992,17089,16727,16179,15613,15022,15121,14986,14789,14862,14763,14699,12970,13160,12719,8521,8708,8121,8125,8259,14475,-6216,-42.94%
5606,5902,6591,6132,5900,7420,6736,6278,10016,10826,12195,12198,11020,10107,8733,8929,9032,10908,8532,8130,11524,10120,9519,8919,7554,7461,7951,6375,5555,5541,8390,-2849,-33.96%
5464,5478,5702,5618,5859,5734,5634,5697,5591,5335,5104,4735,4640,4727,4601,4444,4467,3993,3286,3522,2855,2972,2968,2756,2988,2896,3122,2963,2878,2736,4292,-1556,-36.25%
3097,4093,5773,5227,5248,5370,5210,4752,5108,2943,2806,3641,2945,4685,4916,3393,2727,2011,1563,1023,1256,1423,1159,1255,1236,1566,2469,1014,914,1255,3003,-1748,-58.21%
5481,6333,6190,6322,6397,5922,6038,5706,5188,5242,4688,5036,5538,5841,5564,5772,5643,4997,4333,4444,4698,4890,4992,4986,4445,4771,4812,4541,4531,4966,5277,-311,-5.89%
6631,5263,6937,6630,6748,5902,6419,6085,4950,3827,3352,3498,6109,6927,6824,6684,6610,5291,4394,4482,4638,5614,6672,6348,4539,5055,4598,4446,4629,5025,5504,-479,-8.70%
9638,9356,9344,9460,9611,9280,9276,9083,8851,8023,7874,7191,6156,5756,6175,5374,5874,4809,3889,3035,3012,2613,2080,3252,3318,3107,2825,2270,2128,2095,5825,-3730,-64.03%
6405,6430,6687,6696,6419,6619,6716,6841,6377,6825,6593,6660,6675,6602,6621,6611,7016,6949,6741,6832,6853,7179,6321,6602,6476,6589,6528,6585,6596,6557,6653,-96,-1.44%
9712,9756,9782,9929,9593,9548,9791,9700,9713,9844,9789,9730,9723,9711,9719,9663,9668,9785,9324,9555,7315,4038,5710,5534,6321,5501,5652,5423,5913,5807,8375,-2568,-30.66%
8363,6855,6569,7122,6358,6632,6478,7350,9280,9524,9591,8349,6931,7148,8098,7770,6407,8574,8191,7988,8287,7319,7964,7848,8098,6473,7688,7572,5939,6900,7589,-689,-9.08%
6573,7032,7426,7236,6803,7106,6808,6738,7065,6899,6613,6782,6796,6765,7028,6437,6312,6716,6345,5887,6804,6365,5758,6086,6337,6125,6008,6025,6088,6102,6569,-467,-7.11%
6667,6351,6807,6657,6379,6794,6645,6524,5666,5666,3013,4384,4662,4138,3184,3008,2119,1888,2255,2424,3460,2352,2190,1522,3432,2283,2417,3807,1583,2797,4036,-1239,-30.70%
8830,8389,8922,8867,8553,8803,8769,7395,6963,6856,6554,7155,7076,6852,5325,3931,1192,1609,5783,4477,6909,4512,5609,5662,7523,7168,7121,5553,4225,4301,6363,-2062,-32.41%
11269,11263,11541,11313,10816,10890,10623,10269,10071,9806,9576,9837,9657,10042,9963,9435,9528,9331,9039,9183,9082,8766,8496,8625,8506,8355,8301,8029,7832,7920,9579,-1659,-17.32%
10750,11286,11730,10614,10718,11258,9537,9798,10424,8424,8439,8375,7417,7405,7465,6027,5100,4753,4671,4852,4789,4587,5793,6814,5581,6442,5884,4879,6227,4670,7490,-2820,-37.65%
5908,5720,6338,6522,6104,6296,7004,6245,6144,6255,6266,6217,6509,6214,6218,6707,6215,6193,6147,6246,6189,6745,6882,6676,7143,7173,7110,7266,6657,6382,6456,-74,-1.15%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4402,6869,7956,7200,6422,5052,4806,3984,3822,2754,193,-765,-1574,-3007,-3007,-3007,-3007,-3007,-3007,-3007,-3007,-3007,-3007,-3007,-3007,-3007,-3007,-3007,-3007,-3007,Afghan,,
1172,1186,1410,1326,1567,1442,1342,1405,1299,1043,812,443,348,435,309,152,175,-299,-1006,-770,-1437,-1320,-1324,-1536,-1304,-1396,-1170,-1329,-1414,-1556,Iran,,
3813,3531,3519,3635,3786,3455,3451,3258,3026,2198,2049,1366,331,-69,350,-451,49,-1016,-1936,-2790,-2813,-3212,-3745,-2573,-2507,-2718,-3000,-3555,-3697,-3730,Iraq,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
