6223,6083,6201,6076,5949,6066,6023,6000,6160,6132,6101,6169,6026,6019,6172,6132,6137,6217,6291,5887,6111,6083,6064,5800,6194,5799,6173,6038,6097,6197,6087,110,1.81%
13629,13557,13642,13888,13981,13651,13749,13851,14056,13966,14138,13776,14039,14202,14019,13990,14152,14229,13900,13978,14015,14076,12122,12790,13547,13488,13448,13773,13524,13816,13766,50,0.36%
11185,11405,11168,11207,11418,11180,11097,11477,11056,11025,11395,11018,11097,11521,11096,11306,11465,11183,11286,11523,11271,11090,11321,11176,11229,11528,11232,11247,11421,11210,11261,-51,-0.45%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3%,0%,0%,-2%,-1%,4%,-2%,-1%,4%,-2%,-3%,2%,2%,0%,5%,3%,-2%,6%,3%,0%,6%,0%,-5%,4%,-3%,-5%,0%,-3%,-5%,0%,3%,,
-2%,2%,1%,1%,0%,1%,1%,0%,-1%,-1%,-1%,-3%,0%,-2%,-2%,-3%,-3%,-1%,0%,1%,2%,-1%,-2%,-2%,-1%,1%,3%,4%,3%,2%,2%,,
-2%,-1%,0%,0%,2%,2%,1%,-1%,0%,0%,1%,0%,0%,-1%,-2%,-2%,0%,2%,2%,0%,-2%,-3%,0%,-2%,1%,1%,2%,2%,1%,1%,1%,,
-1%,-1%,1%,0%,-1%,0%,-1%,0%,2%,1%,1%,2%,0%,-1%,2%,-1%,0%,2%,-1%,1%,1%,0%,-2%,1%,-1%,-2%,-1%,0%,0%,2%,1%,,
-1%,1%,1%,0%,0%,0%,-1%,1%,0%,1%,0%,-1%,1%,2%,1%,0%,1%,0%,1%,1%,-5%,-3%,0%,1%,0%,0%,0%,-1%,0%,0%,1%,,
-1%,-1%,-1%,0%,0%,0%,1%,0%,1%,2%,1%,-2%,2%,2%,2%,3%,3%,0%,2%,1%,-2%,-1%,-2%,-2%,-1%,-2%,-2%,-1%,-2%,-2%,2%,,
-2%,-1%,1%,3%,1%,2%,2%,0%,1%,4%,0%,-2%,5%,2%,3%,3%,0%,0%,1%,-6%,-3%,-1%,-4%,-4%,0%,-3%,-1%,1%,-2%,1%,3%,,
14%,-21%,-15%,13%,-15%,-13%,23%,-18%,-32%,-5%,-14%,-21%,13%,-18%,3%,31%,7%,4%,29%,17%,-1%,7%,11%,-5%,30%,-16%,5%,-8%,9%,-14%,17%,,
1%,-29%,-21%,-4%,-1%,-4%,-8%,-4%,16%,8%,-4%,-31%,10%,10%,17%,13%,12%,9%,9%,14%,3%,-8%,-15%,11%,-7%,-6%,9%,3%,-1%,-4%,12%,,
-18%,-46%,-33%,-22%,-12%,-5%,-1%,0%,3%,18%,15%,-13%,-1%,47%,38%,56%,50%,48%,38%,37%,41%,-38%,-37%,-18%,-33%,-35%,-22%,-15%,-30%,-12%,31%,,
-3%,2%,-3%,-1%,2%,0%,-4%,0%,1%,2%,6%,-3%,2%,4%,0%,2%,5%,-5%,-2%,4%,-5%,-2%,1%,-6%,-2%,0%,-3%,2%,5%,2%,3%,,
2%,-2%,-2%,0%,-2%,-2%,0%,-2%,-1%,1%,0%,0%,2%,1%,1%,2%,1%,1%,4%,4%,0%,1%,-1%,-1%,-1%,-2%,-1%,0%,-2%,-1%,2%,,
-1%,-1%,4%,3%,0%,3%,2%,2%,0%,2%,-5%,2%,-3%,0%,0%,-1%,0%,-5%,1%,-3%,12%,-4%,-5%,-6%,5%,-5%,2%,3%,-1%,2%,4%,,
-4%,-1%,7%,2%,2%,7%,4%,4%,5%,3%,0%,1%,2%,-4%,-1%,-7%,-10%,-9%,-7%,-2%,0%,-4%,-3%,2%,-5%,-3%,10%,6%,0%,5%,5%,,
2%,-12%,17%,11%,-5%,16%,13%,2%,21%,17%,2%,-12%,3%,0%,5%,-3%,-18%,-1%,-1%,-33%,3%,4%,-14%,1%,3%,-14%,10%,-1%,-20%,4%,12%,,
-1%,-1%,-7%,-23%,-4%,8%,-1%,5%,7%,-3%,7%,6%,4%,3%,9%,7%,5%,4%,6%,-5%,-10%,-12%,-2%,3%,5%,-6%,6%,-2%,0%,-9%,7%,,
2%,-2%,-1%,-2%,-4%,-1%,-1%,0%,2%,0%,-1%,5%,-1%,-4%,0%,-1%,-2%,0%,-1%,-2%,4%,4%,6%,4%,2%,0%,2%,-1%,-6%,1%,3%,,
19%,-1%,14%,14%,2%,13%,6%,8%,23%,16%,4%,20%,1%,-12%,2%,8%,-13%,-9%,-36%,-57%,12%,15%,-29%,9%,-16%,-52%,16%,13%,-2%,11%,20%,,
0%,0%,0%,-2%,1%,0%,-2%,0%,0%,-2%,0%,2%,-3%,-1%,-2%,-3%,-1%,-1%,-1%,2%,1%,0%,2%,1%,-1%,2%,1%,0%,2%,1%,1%,,
-2%,1%,-1%,-1%,1%,16%,15%,16%,-3%,-4%,-1%,-2%,-4%,-2%,-7%,7%,-7%,-3%,1%,-2%,-2%,-2%,-2%,-2%,-3%,-2%,-2%,-3%,-2%,0%,6%,,
7%,-12%,-9%,0%,5%,-19%,-2%,0%,-8%,-4%,-1%,6%,0%,-2%,1%,4%,2%,1%,5%,13%,4%,9%,9%,5%,11%,9%,3%,-23%,-8%,-6%,8%,,
-5%,0%,0%,1%,-2%,4%,3%,2%,1%,1%,4%,-2%,7%,2%,8%,4%,3%,9%,7%,-6%,-10%,-6%,-33%,-3%,7%,0%,2%,6%,-2%,0%,8%,,
2%,-3%,0%,4%,-3%,2%,0%,2%,0%,3%,-8%,0%,4%,-2%,2%,1%,-2%,0%,-2%,0%,2%,2%,-3%,0%,-2%,-1%,1%,3%,0%,0%,3%,,
1%,2%,2%,1%,0%,-1%,-2%,-1%,-1%,0%,1%,1%,0%,0%,0%,-2%,-2%,1%,2%,-4%,4%,1%,1%,1%,0%,-2%,0%,-4%,-3%,3%,2%,,
4%,0%,2%,0%,-1%,1%,-1%,-1%,1%,-2%,-3%,5%,-4%,-5%,-3%,-5%,-5%,-4%,-6%,-7%,7%,4%,4%,6%,3%,2%,4%,1%,1%,2%,4%,,
0%,-1%,1%,0%,-1%,1%,1%,-1%,0%,1%,-1%,1%,0%,-1%,1%,0%,-1%,1%,1%,-1%,1%,1%,-2%,1%,-1%,0%,2%,0%,-2%,1%,1%,,
14%,-48%,-46%,-48%,-48%,-47%,2%,4%,-48%,14%,15%,14%,14%,15%,14%,14%,15%,14%,14%,15%,14%,16%,16%,13%,12%,14%,13%,4%,3%,1%,25%,,
-1%,-1%,-3%,-5%,-2%,2%,-2%,1%,2%,-1%,-1%,3%,2%,-2%,2%,0%,-1%,2%,-1%,0%,2%,1%,1%,3%,-1%,-1%,1%,0%,-1%,1%,2%,,
0%,1%,1%,-1%,1%,0%,0%,1%,2%,1%,2%,1%,0%,0%,0%,-3%,-1%,-3%,-4%,-1%,0%,0%,-1%,-1%,0%,1%,1%,0%,1%,0%,1%,,
-2%,-3%,-2%,-1%,1%,1%,1%,1%,1%,1%,1%,1%,0%,1%,1%,0%,1%,0%,-1%,1%,0%,-1%,1%,0%,0%,0%,-1%,0%,0%,-1%,1%,,
-1%,-1%,-2%,-1%,-1%,-2%,0%,1%,-1%,3%,1%,-2%,6%,4%,2%,4%,3%,0%,1%,0%,0%,-3%,-2%,-2%,-1%,-2%,-2%,-1%,-2%,-2%,2%,,
0%,-5%,1%,1%,0%,0%,1%,1%,1%,1%,1%,-1%,2%,1%,0%,0%,1%,1%,0%,0%,0%,0%,-1%,-1%,0%,-3%,0%,0%,1%,0%,1%,,
3%,-7%,-3%,-1%,-8%,2%,10%,4%,7%,9%,1%,-7%,9%,4%,8%,7%,7%,7%,5%,2%,-9%,-1%,-20%,-7%,0%,-14%,-3%,3%,-4%,-5%,7%,,
-1%,-3%,0%,-3%,-4%,3%,2%,-2%,-2%,-4%,1%,-4%,8%,12%,0%,9%,11%,-2%,-1%,3%,-4%,-1%,-2%,-3%,-1%,-5%,-6%,0%,-5%,3%,5%,,
5%,0%,-5%,0%,0%,-1%,-5%,-9%,3%,3%,-13%,6%,-5%,2%,7%,8%,6%,4%,4%,1%,5%,5%,0%,7%,2%,-26%,2%,-2%,-2%,3%,7%,,
